"name_data","gross_data","prod_data","release_data","perc_return","days_since_jan_1"
"Life of Pi",609016565,1.2e+08,2012-11-21,507.513804166667,325
"Transformers:The Last Knight",605425157,2.17e+08,2017-06-21,278.997768202765,171
"Madagascar:Escape 2 Africa",603900354,1.5e+08,2008-11-07,402.600236,311
"Casino Royale",599045960,1.5e+08,2006-11-17,399.363973333333,320
"Tangled",591794936,2.6e+08,2010-11-24,227.613436923077,327
"War of the Worlds",591745540,1.32e+08,2005-06-29,448.292075757576,179
"Men in Black",589390539,9e+07,1997-07-02,654.878376666667,182
"The Croods",587204668,1.35e+08,2013-03-22,434.966420740741,80
"The Hangover Part II",586764305,8e+07,2011-05-26,733.45538125,145
"Quantum of Solace",586090727,2e+08,2008-11-14,293.0453635,318
"I Am Legend",585349010,1.5e+08,2007-12-14,390.232673333333,347
"Iron Man",585174222,1.4e+08,2008-05-02,417.981587142857,122
"Monsters, Inc.",577425734,1.15e+08,2001-11-02,502.109333913043,305
"Fifty Shades of Grey",571006128,4e+07,2015-02-13,1427.51532,43
"Kong:Skull Island",566652812,1.85e+08,2017-03-10,306.298817297297,68
"The Smurfs",563749323,1.1e+08,2011-07-29,512.499384545455,209
"Cars 2",562110557,2e+08,2011-06-24,281.0552785,174
"Puss in Boots",554987477,1.3e+08,2011-10-28,426.913443846154,300
"Armageddon",553709788,1.4e+08,1998-07-01,395.506991428571,181
"King Kong",550517357,2.07e+08,2005-12-14,265.950414009662,347
"Ted",549368315,5e+07,2012-06-29,1098.73663,180
